Shift,Threshold,Nodes,Edges,Density,Avg Degree,Top Leader,Top Follower
5,0.5,99,3574,0.3683776540919398,72.20202020202021,CVX (+20),MS (-7)
5,0.55,98,2970,0.312434252051336,60.61224489795919,CVX (+12),DHR (-9)
5,0.6000000000000001,96,2421,0.2654605263157895,50.4375,ABBV (+11),DHR (-8)
5,0.6500000000000001,94,1874,0.2143674216426447,39.87234042553192,GILD (+11),BKNG (-11)
5,0.7000000000000002,85,1358,0.19019607843137254,31.95294117647059,GILD (+9),BKNG (-13)
5,0.7500000000000002,80,950,0.15031645569620253,23.75,NSC (+8),MMC (-7)
5,0.8000000000000003,67,561,0.12686567164179105,16.746268656716417,ADI (+6),MSFT (-5)
5,0.8500000000000003,53,276,0.10014513788098693,10.415094339622641,CSCO (+6),MSFT (-8)
5,0.9000000000000004,31,59,0.06344086021505377,3.806451612903226,BLK (+4),ORCL (-5)
15,0.5,99,3340,0.3442589156874871,67.47474747474747,INTC (+30),AON (-20)
15,0.55,96,2767,0.30339912280701753,57.645833333333336,ABBV (+22),BKNG (-21)
15,0.6000000000000001,95,2191,0.24535274356103023,46.126315789473686,NEE (+18),BKNG (-24)
15,0.6500000000000001,89,1633,0.20850357507660877,36.69662921348315,SO (+17),BKNG (-20)
15,0.7000000000000002,85,1165,0.16316526610644258,27.41176470588235,SO (+15),BKNG (-17)
15,0.7500000000000002,77,745,0.1273069036226931,19.350649350649352,GOOGL (+12),MSFT (-13)
15,0.8000000000000003,62,403,0.10655737704918032,13.0,GOOGL (+9),MSFT (-14)
15,0.8500000000000003,50,156,0.0636734693877551,6.24,CSCO (+6),MSFT (-10)
15,0.9000000000000004,25,24,0.04,1.92,ACN (+3),MSFT (-4)
25,0.5,100,3282,0.33151515151515154,65.64,INTC (+39),LLY (-25)
25,0.55,100,2681,0.27080808080808083,53.62,INTC (+33),LLY (-22)
25,0.6000000000000001,97,2035,0.2185352233676976,41.95876288659794,INTC (+23),AON (-19)
25,0.6500000000000001,96,1520,0.16666666666666666,31.666666666666668,ABBV (+20),BKNG (-18)
25,0.7000000000000002,91,1034,0.12625152625152625,22.725274725274726,SO (+22),BKNG (-22)
25,0.7500000000000002,76,629,0.11035087719298245,16.55263157894737,SO (+16),MSFT (-16)
25,0.8000000000000003,61,284,0.07759562841530054,9.311475409836065,ACN (+11),MSFT (-16)
25,0.8500000000000003,46,104,0.050241545893719805,4.521739130434782,ACN (+8),MSFT (-8)
25,0.9000000000000004,13,12,0.07692307692307693,1.8461538461538463,ACN (+4),MSFT (-3)
